barcode	plateRow	plateColumn	numcells	Nuclei DAPI - Intensity Nucleus EGFP Mean - Median	Nuclei DAPI - Intensity Nucleus EGFP StdDev - StdDev	Nuclei DAPI - Intensity Nucleus EGFP Median - Median	Nuclei DAPI - Nucleus Area [µm²] - Sum	Nuclei DAPI - Nucleus Roundness - Sum	Nuclei DAPI - Nucleus DAPI SER Saddle 0 px - StdDev	Nuclei DAPI - Nucleus DAPI Haralick Homogeneity 1 px - Sum	Nuclei/Median_GFP	Number of Analyzed Fields	concenctration	treatment	hitscore	Nuclei DAPI - Nucleus DAPI SER Saddle 0 px - StdDev.bscore	Nuclei/Median_GFP.bscore
001AL100205B-KI_1_1	3	19	327	552.028409091	104.900059031	547	60413.9364412	299.971320273	0.0167453097878	109.16414181	0.597806215722	9	10 uM	library	-157.310910587503	0.92282886267269	-4.5539328293863
001AL100205B-KI_1_1	3	20	395	505.627705628	106.356527952	500	67629.1604109	370.797131434	0.0138570812834	130.525747153	0.79	9	3.3 uM	library	-151.106483396473	0.737279211142277	-4.46632398945399
001AL100205B-KI_1_1	3	21	769	870.384150943	237.027131522	854	296476.255913	708.801791429	0.00600073377809	353.878312923	0.900468384075	9	10 uM	library	-114.566993052803	0.143300528321615	-4.03122396655814
001AL100205B-KI_1_1	3	22	5290	1538.30001363	200.603474786	1535	2250817.42977	4806.52076369	0.00361934872169	3128.56883117	3.44625407166	9	3.3 uM	library	-44.6549386319114	0.00198370395721506	-0.390418457217079
001AL100205B-KI_1_1	4	3	9145	1792.65128205	141.294169699	1806	2290237.76745	8598.57432437	0.00523558402233	4421.2017547	5.06367663344	9	250 nM	18858	-45.8389408334445	0.0256101771682627	1.16375217744490
001AL100205B-KI_1_1	4	4	9037	2042.41293532	175.792951827	2060	2194633.58361	8485.5812016	0.00471919007234	4404.59197722	4.38689320388	9	0.1 ugml	Interferin	-22.8731329486461	0.000370297750646618	-0.235081894562648
001AL100205B-KI_1_1	4	5	7604	1968.48142447	167.013126808	1980	2011920.91034	7134.5374819	0.00422717506553	3811.78833176	3.8404040404	9	1.1 uM	library	-8.1729706624048	-0.0283072185127431	-1.13959269922815
001AL100205B-KI_1_1	4	6	9981	2308.1146789	180.603320221	2326	2380800.96216	9391.8658702	0.00443374898496	4795.86390361	4.29105760963	9	0.37 uM	library	13.2013848705354	-0.000154488423759189	-0.272433329807655
001AL100205B-KI_1_1	4	7	8193	2208.58431373	214.378527583	2225	2082616.09702	7719.30904822	0.00456758211623	3976.71182781	3.68224719101	9	1.1 uM	library	7.27658033168943	-0.0171599045864810	-0.699005476605462
001AL100205B-KI_1_1	4	8	8033	2818.26666667	242.497962689	2842	2025616.41955	7560.78475848	0.00454862984128	3916.94124093	2.82653061224	9	0.37 uM	library	64.6839097469151	0.00605632950583144	-1.72849344035338
001AL100205B-KI_1_1	4	9	8524	2360.24900118	210.155719201	2386	2139758.81624	8016.48554729	0.00451195812635	4138.42079664	3.57250628667	9	1.1 uM	library	17.2343424368911	-0.0127085190265606	0.0151779368322788
001AL100205B-KI_1_1	4	10	8627	2389.40804598	193.742480778	2414	2125838.38619	8115.41717136	0.00439820073614	4182.60498942	3.57373653687	9	0.37 uM	library	15.5374323990663	-0.00016642808739451	-0.343943710765817
